14:48:08 apply running, wiring listeners
14:48:08 listeners wired
14:48:22 apply running, wiring listeners
14:48:22 listeners wired
14:48:47 apply running, wiring listeners
14:48:47 listeners wired
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:48 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:48 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:48 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:48 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:48 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:48 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:48 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:48 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:48 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:48 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:48 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:48 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:48 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:48 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:48 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:48 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:48 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:48 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:48 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:48 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:48 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:48 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:48 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:48 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:48 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:48 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:48 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:48 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:48 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:48 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:48 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:48 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:48 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:48 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:48 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:48 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:48 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:48 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:48 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:48 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:48 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:48 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:48 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:48 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:48 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:48 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:48 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:48 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:48 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:48 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:48 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:48 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:48 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:48 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:48 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:48 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:48 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:48 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:48 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:48 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:48 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:48 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:48 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:48 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:48 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:48 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:48 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:48 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:48 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:48 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:48 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:48 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:48 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:48 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:48 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
